from_portid,to_portid,sample_date,sea_distance_nm,transit_days_observed,month,origin_vessel_count,dest_vessel_count,origin_congestion_index,dest_congestion_index,chokepoint_stress_max,wave_height_m,wind_speed_kn,storm_flag,precipitation_mm,has_disruption,disruption_severity,infrastructure_quality_avg,cross_region_flag,delay_hours
port100,port109,2020-01-15,994.3,46.8,1,1455,1025,0.95,1.197,0.0,0.0,0.0,0,0.0,0,0,0.653,0,26.55
port100,port109,2020-02-15,994.3,46.8,2,1455,1025,0.879,1.277,0.0,0.0,0.0,0,0.0,0,0,0.653,0,37.34
port100,port109,2020-03-15,994.3,46.8,3,1455,1025,0.896,1.047,0.0,0.0,0.0,0,0.0,0,0,0.653,0,6.33
port100,port109,2020-04-15,994.3,46.8,4,1455,1025,0.648,0.955,0.0,0.0,0.0,0,0.0,0,0,0.653,0,0.0
port100,port109,2020-05-15,994.3,46.8,5,1455,1025,0.754,1.312,0.0,0.0,0.0,0,0.0,0,0,0.653,0,42.05
port100,port109,2020-06-15,994.3,46.8,6,1455,1025,0.719,0.84,0.0,0.0,0.0,0,0.0,0,0,0.653,0,0.0
port100,port109,2020-07-15,994.3,46.8,7,1455,1025,0.754,0.679,0.0,0.0,0.0,0,0.0,0,0,0.653,0,0.0
port100,port109,2020-08-15,994.3,46.8,8,1455,1025,0.621,0.667,0.0,0.0,0.0,0,0.0,0,0,0.653,0,0.0
port100,port109,2020-09-15,994.3,46.8,9,1455,1025,0.719,0.851,0.0,0.0,0.0,0,0.0,0,0,0.653,0,0.0
port100,port109,2020-10-15,994.3,46.8,10,1455,1025,0.683,0.713,0.0,0.0,0.0,0,0.0,0,0,0.653,0,0.0
port100,port109,2020-11-15,994.3,46.8,11,1455,1025,0.781,0.817,0.0,0.0,0.0,0,0.0,0,0,0.653,0,0.0
port100,port109,2020-12-15,994.3,46.8,12,1455,1025,0.674,1.024,0.0,0.0,0.0,0,0.0,0,0,0.653,0,3.23
port100,port109,2021-01-15,994.3,46.8,1,1455,1025,1.012,0.943,0.0,0.0,0.0,0,0.0,0,0,0.653,0,1.62
port100,port109,2021-02-15,994.3,46.8,2,1455,1025,0.905,0.805,0.0,0.0,0.0,0,0.0,0,0,0.653,0,0.0
port100,port109,2021-03-15,994.3,46.8,3,1455,1025,0.799,1.001,0.0,0.0,0.0,0,0.0,0,0,0.653,0,0.13
port100,port109,2021-04-15,994.3,46.8,4,1455,1025,0.843,0.978,0.0,0.0,0.0,0,0.0,0,0,0.653,0,0.0
port100,port109,2021-05-15,994.3,46.8,5,1455,1025,0.843,0.828,0.0,0.0,0.0,0,0.0,0,0,0.653,0,0.0
port100,port109,2021-06-15,994.3,46.8,6,1455,1025,0.674,0.771,0.0,0.0,0.0,0,0.0,0,0,0.653,0,0.0
port100,port109,2021-07-15,994.3,46.8,7,1455,1025,0.63,0.771,0.0,0.0,0.0,0,0.0,0,0,0.653,0,0.0
port100,port109,2021-08-15,994.3,46.8,8,1455,1025,0.781,0.495,0.0,0.0,0.0,0,0.0,0,0,0.653,0,0.0
port100,port109,2021-09-15,994.3,46.8,9,1455,1025,0.958,0.978,0.0,0.0,0.0,0,0.0,0,0,0.653,0,0.0
port100,port109,2021-10-15,994.3,46.8,10,1455,1025,0.896,1.139,0.0,0.0,0.0,0,0.0,0,0,0.653,0,18.73
port100,port109,2021-11-15,994.3,46.8,11,1455,1025,0.816,1.128,0.0,0.0,0.0,0,0.0,0,0,0.653,0,17.25
port100,port109,2021-12-15,994.3,46.8,12,1455,1025,1.136,1.036,0.0,0.0,0.0,0,0.0,0,0,0.653,0,18.33
port100,port109,2022-01-15,994.3,46.8,1,1455,1025,1.162,1.093,0.0,0.0,0.0,0,0.0,0,0,0.653,0,21.84
port100,port109,2022-02-15,994.3,46.8,2,1455,1025,1.331,1.07,0.0,0.0,0.0,0,0.0,0,0,0.653,0,44.61
port100,port109,2022-03-15,994.3,46.8,3,1455,1025,1.402,1.001,0.0,0.0,0.0,0,0.0,0,0,0.653,0,54.18
port100,port109,2022-04-15,994.3,46.8,4,1455,1025,1.296,0.713,0.0,0.0,0.0,0,0.0,0,0,0.653,0,39.9
port100,port109,2022-05-15,994.3,46.8,5,1455,1025,1.509,1.059,0.0,0.0,0.0,0,0.0,0,0,0.653,0,68.61
