date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2023/05/20,2023,5,20,chokepoint1,Suez Canal,21,26,7,4,25,58,83,1148714,1546236,34634,10421,1503404,2740006,4243411,1
2023/05/21,2023,5,21,chokepoint1,Suez Canal,21,22,3,1,20,47,67,1053113,1593665,6854,4258,846416,2657891,3504308,2
2023/05/22,2023,5,22,chokepoint1,Suez Canal,20,14,5,3,24,42,66,1237461,715973,20024,16595,911127,1990055,2901183,3
2023/05/23,2023,5,23,chokepoint1,Suez Canal,12,28,7,4,44,51,95,374869,1311755,19619,16527,1840999,1722771,3563771,4
2023/05/24,2023,5,24,chokepoint1,Suez Canal,23,15,5,2,28,45,73,1046298,775449,15971,3812,1533528,1841531,3375060,5
2023/05/25,2023,5,25,chokepoint1,Suez Canal,23,12,3,1,10,39,49,1256223,895913,8370,4096,586553,2164604,2751157,6
2023/05/26,2023,5,26,chokepoint1,Suez Canal,19,25,6,6,32,56,88,976771,1298490,21026,34002,1519852,2330290,3850143,7
2023/05/27,2023,5,27,chokepoint1,Suez Canal,18,24,8,3,17,53,70,1380247,1403189,30488,14973,899239,2828899,3728138,8
2023/05/28,2023,5,28,chokepoint1,Suez Canal,30,27,5,3,24,65,89,1929421,1124770,18787,19042,1228813,3092022,4320835,9
2023/05/29,2023,5,29,chokepoint1,Suez Canal,18,19,3,3,26,43,69,749688,1264811,5537,10395,1583395,2030432,3613828,10
2023/05/30,2023,5,30,chokepoint1,Suez Canal,21,26,9,1,32,57,89,963487,1410526,60063,7212,1478426,2441291,3919717,11
2023/05/31,2023,5,31,chokepoint1,Suez Canal,20,20,6,3,21,49,70,920706,847685,20575,15624,1303793,1804591,3108384,12
2023/06/01,2023,6,1,chokepoint1,Suez Canal,18,24,2,2,18,46,64,958924,1120978,1442,13214,1121269,2094560,3215829,13
2023/06/02,2023,6,2,chokepoint1,Suez Canal,26,30,3,4,26,63,89,1449042,1251020,32215,19087,1021561,2751365,3772926,14
2023/06/03,2023,6,3,chokepoint1,Suez Canal,17,18,6,1,22,42,64,1112889,795219,22022,9612,1313730,1939744,3253474,15
2023/06/04,2023,6,4,chokepoint1,Suez Canal,15,11,1,3,31,30,61,825878,452428,336,16703,1352354,1295347,2647701,16
2023/06/05,2023,6,5,chokepoint1,Suez Canal,21,19,9,2,21,51,72,1161352,812257,28279,16373,1291558,2018263,3309822,17
2023/06/06,2023,6,6,chokepoint1,Suez Canal,21,24,4,3,21,52,73,909113,1200655,21761,19501,1138966,2151031,3289998,18
2023/06/07,2023,6,7,chokepoint1,Suez Canal,28,23,4,7,27,62,89,1113125,1104509,22608,43119,1237483,2283363,3520847,19
2023/06/08,2023,6,8,chokepoint1,Suez Canal,22,19,11,0,32,52,84,1131098,909679,34209,0,1321546,2074987,3396533,20
